anime_id,title,title_english,type,source,episodes,status,airing,aired_string,duration_min,rating,score,scored_by,rank,popularity,members,favorites,studio,genre,aired_from_year
32954,Flying Witch Petit,,ONA,Manga,9,Finished Airing,FALSE,"Mar 18, 2016 to Jun 24, 2016",2,PG-13 - Teens 13 or older,5.99,3994,7368,3648,10213,8,domerica,"Slice of Life, Comedy, Supernatural",2016
9028,Edokko Boy: Gatten Tasuke,,TV,Manga,22,Finished Airing,FALSE,"Oct 19, 1990 to Mar 22, 1991",25,G - All Ages,6.11,36,10043,10843,244,0,Studio Pierrot,"Comedy, Martial Arts, Police, Sports",1990
2026,Hayate no Gotoku!,Hayate the Combat Butler,TV,Manga,52,Finished Airing,FALSE,"Apr 1, 2007 to Mar 30, 2008",24,PG-13 - Teens 13 or older,7.69,65426,1105,523,153958,1584,SynergySP,"Action, Harem, Comedy, Parody, Romance, Shounen",2007
1944,Photon,Photon: The Idiot Adventures,OVA,Original,6,Finished Airing,FALSE,"Nov 21, 1997 to Feb 18, 1999",32,R+ - Mild Nudity,7.17,4578,2935,3773,9395,38,AIC,"Action, Adventure, Comedy, Drama, Ecchi, Mecha, Romance, Sci-Fi",1997
21059,Oppai Infinity∞! The Animation,,OVA,Manga,1,Finished Airing,FALSE,31-Jan-14,28,Rx - Hentai,6.55,921,,6260,2645,9,Office Takeout,Hentai,2014
7867,Gon,,TV,Manga,50,Finished Airing,FALSE,"Apr 2, 2012 to Mar 25, 2013",23,G - All Ages,6.01,162,7330,8171,1057,4,Daewon Media,"Action, Adventure, Kids",2012
8258,Damen&#039;s Walker,,ONA,Original,12,Finished Airing,FALSE,"Mar 1, 2010 to May 17, 2010",3,PG-13 - Teens 13 or older,6.18,17,9948,11402,185,0,Kachidoki Studio,"Comedy, Romance",2010
1020,Honoo no Mirage: Minagiwa no Hangyakusha,Mirage of Blaze: Rebels of the River Edge,OVA,Light novel,3,Finished Airing,FALSE,"Jul 28, 2004 to Nov 26, 2004",30,R - 17+ (violence & profanity),7.05,3008,3369,4229,7188,25,Madhouse,"Action, Romance, Supernatural, Historical, Drama, Shoujo, Shounen Ai",2004
19831,Ore wa Chokkaku,,TV,Manga,36,Finished Airing,FALSE,"Jan 5, 1991 to Oct 12, 1991",23,None,6.75,12,11644,11798,160,0,Studio Pierrot,Comedy,1991
11227,Rinne no Lagrange,Lagrange: The Flower of Rin-ne,TV,Original,12,Finished Airing,FALSE,"Jan 8, 2012 to Mar 25, 2012",23,PG-13 - Teens 13 or older,6.99,18317,3615,1570,48021,92,Xebec,"Action, Sci-Fi, Comedy, Mecha",2012
